movieId,tags,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,mean rating
32,time travel time travel brad pitt bruce willis mindfuck post apocalyptic postapocalyptic remake time travel twist ending,0.16269329,-0.11943914,-0.3296371,-0.20305645,-0.38851517,-0.07316622,0.22642598,-0.032574717,-0.20713766,0.09301519,0.5565364,0.11566846,0.019396769,0.22960894,-0.25111815,-0.23960778,0.07403619,0.02296913,0.20112535,0.004226299,0.14230281,-0.13911697,0.074285336,0.47537786,-0.077885866,0.122846685,-0.4037804,-0.18705922,0.26341408,0.16808705,-0.44178933,-0.007754159,-0.04690761,0.07637214,-0.0729714,-0.06333992,-0.028420256,0.21276756,-0.22067106,-0.32759765,0.034942772,0.28675228,0.27186012,-0.4331061,-0.24974208,0.030241355,-0.2159371,0.24698098,0.54628927,0.38422263,3.983050847457627
110,beautiful scenery epic historical inspirational medieval mel gibson oscar best cinematography revenge sword fight scotland,0.10193126,-0.33248317,-0.27703643,-0.3717565,-0.30547947,-0.02855362,-0.41771826,-0.17855845,-0.56267196,0.077471346,0.21327326,-0.29808402,0.135752,0.44273394,0.10149202,-0.049629267,0.4111652,-0.09824211,0.16525091,-0.3410712,0.1368148,-0.07219521,-0.026769834,0.24816063,-0.05086064,0.17549591,-0.14836277,-0.5771119,0.52197117,0.17697804,-0.36047965,0.14222816,0.014628682,0.35089928,-0.18673176,-0.15240288,0.13964303,0.29260516,-0.052742366,-0.34044182,0.2410645,0.0422705,-0.18075055,-0.27119237,-0.26875448,0.07911375,-0.18026453,0.4003107,0.5174801,0.2514239,4.031645569620253
260,classic space action action scifi epic great soundtrack classic scifi engrossing adventure epic classic nerd classic scifi space action space epic oldie goodie scifi star wars robots androids space classic scifi scifi space adventure star wars darth vader luke skywalker space opera,-0.06513097,-0.44678006,-0.017857535,-0.3268652,-0.26361057,-0.026868332,0.0377384,-0.3961371,-1.181107,-0.26834252,0.304048,-0.3102804,0.30337322,0.36405095,-0.16429022,0.10796203,0.21738702,-0.5667012,0.44735616,-0.31431758,0.45670953,-0.46949393,-0.14299765,0.61200583,-0.34260926,0.40696228,-0.50163627,-0.36661386,1.1165576,0.7430609,-0.52570355,-0.61171365,-0.450065,0.34166735,0.45551714,-0.2055253,0.41517013,0.499693,-0.53368723,-0.5479022,0.040015023,-0.34092852,-0.10128202,-0.38184515,-0.80706716,-0.1622923,-0.478211,0.14616726,1.1811471,0.82576704,4.231075697211155
293,assassin jean reno hit men action assassin assassination assassins awkward romance corruption crime disturbing drama french friendship gary oldman great acting guns hit men hitman humorous imdb top 250 jean reno lolita theme loneliness love story luc besson natalie portman organized crime police police corruption quirky sniper tense touching unique,0.6833673,-0.59983224,-0.08623924,-0.5491601,-0.16419902,-0.12790923,-0.21071583,-0.51607955,-0.29491323,-0.32958364,0.35597715,-0.12067535,0.34815225,0.4832128,-0.35725772,-0.23036125,0.4496233,-0.32204658,-0.2899995,-0.3583965,-0.20939161,-0.2441856,0.19066449,0.23769978,-0.012888793,0.17277707,-0.38276768,-0.7156404,0.63015556,0.4563655,-0.079234965,0.41014403,-0.26332837,0.6503023,0.024804749,-0.21029918,0.14668559,0.3719229,-0.44760817,-0.22017318,0.36926162,0.19623244,0.14933485,-0.16918159,-0.28064477,0.15154433,-0.15203038,0.17313322,0.9188202,-0.16412206,4.018796992481203
296,good dialogue great soundtrack nonlinear cult film drugs quentin tarantino tarantino hit men 1990s achronological action action packed aggressive amazing amazing dialogues anthology assassin atmospheric awesome bad ass bad language badass bible biblical references big boys guns big name actors black comedy black humor black humour blood blood splatters bloody bruce willis brutality casual violence character development characters classic classic movie coke comedy conversation cool cool style crime crime scene scrubbing cult cult classic cult film dance dancing dark dark comedy dark humor dialogue different diner disjointed timeline disturbing drama drug overdose drugs drugs music ensemble cast entertaining entirely dialogue episodic exciting fast paced fastpaced film noir filmnoir foul language fun funny gangster gangsters genius golden watch good dialogue good music gore great acting great dialogue great soundtrack gritty guns harvey keitel heroin highly quotable hit men hitman homosexuality humour iconic imdb top 250 innovative intellectual intelligent intense interesting intertwining storylines interwoven storylines ironic irony john travolta killerasprotagonist los angeles mafia masterpiece meaningless violence milkshake mobster mobsters monologue motherfucker multiple stories multiple storylines neonoir noir nonlinear nonlinear timeline nonlinear nonlinear narrative nonlinear storyline nonlinear timeline notable soundtrack offensive organised crime organized crime original original plot order palme dor parody philosophical pop culture references psychological pulp quentin tarantino quirky quotable rdisturbing violent content including rape rdisturbing violent images rgraphic sexuality rsome violence rstrong bloody violence rstrong language rsustained strong stylized violence rviolence random rape retro roger avary royal cheese samuel jackson sarcasm satire sexy smart writing sophisticated soundtrack splatter steve buscemi storytelling stylish stylized suspense tarantino thoughtprovoking thriller travolta twist ending uma thurman unique unpredictable unusual funny violence violent witty,1.0727608,-1.2388338,-0.45389673,-1.1661962,-1.0295165,-0.13124914,-0.9740691,-0.95395035,-1.5017046,-0.24950726,0.7659612,-0.53701955,0.26821908,0.3473122,-0.51278216,-0.28103212,0.495835,-0.7664865,-0.17703374,-1.1259426,0.023736553,-0.94623876,0.36040157,0.3865688,-0.5595234,-0.38552907,-0.5877614,-1.150187,2.3488717,1.099345,-0.64570135,0.3253116,-0.23714499,0.5817518,0.38137493,-0.74096584,0.6598155,0.9952419,-0.9071604,-1.1405332,0.6808859,0.27396375,0.07201561,-0.74354786,-0.6203619,-0.30466834,-0.44787145,0.040962655,2.5971835,-0.07515293,4.197068403908795
541,scifi robots androids artificial intelligence atmospheric cyberpunk future mindfuck philip dick atmospheric dreamlike existentialism philosophical,0.15603188,-0.39374205,-0.036897004,-0.086123414,-0.13694128,-0.13977781,-0.25157994,-0.04806626,-0.7098717,0.024410646,0.26235366,-0.30851188,-0.05585376,-0.05037431,-0.17199185,0.18670811,0.40168747,-0.5839565,0.1751202,-0.1839789,0.41429988,-0.09255648,0.11355835,-0.089902565,-0.42472404,0.17138775,0.054441966,-0.1504856,0.8188473,0.1788729,-0.28341267,0.065986186,-0.35137364,0.07838352,-0.23068479,-0.34293815,0.10643748,0.21906519,-0.20164172,-0.37993127,0.027119067,-0.2518604,0.008065845,-0.31065014,-0.35761413,-0.25325936,-0.29796696,0.3490727,0.6026693,0.12750222,4.100806451612903
750,dark comedy atomic bomb black comedy dark comedy satire purity essence slim pickens black comedy dark comedy quirky,-0.0178957,-0.43858704,-0.24076338,-0.19677882,-0.45665398,-0.40271395,-0.30229455,-0.32928264,-0.27512604,0.11539791,0.16197474,-0.41398668,-0.12670751,0.2395301,-0.16037083,-0.3409684,0.5089715,-0.2479633,-0.31887716,-0.64979124,0.19399473,-0.18658315,-0.16031858,0.13039738,-0.2403675,0.059302397,0.10815073,-0.3681815,0.85565907,0.36213177,-0.3437025,0.18801229,-0.16112575,0.18569304,0.30750224,0.09863221,0.15015978,0.4365747,-0.41815397,-0.36682415,0.016813159,0.05417152,0.0011925732,-0.4721778,-0.45563498,-0.24285012,-0.026747217,0.037384342,0.67222965,-0.18046714,4.268041237113402
924,hal space aliens apes arthur clarke artificial intelligence atmospheric cinematography classic computer confusing ending cult film dull future futuristic imdb top 250 masterpiece meditative music mystery oscar best effects visual effects overrated philosophical relaxing revolutionary robots scifi settingspacespace ship slow slow paced soundtrack space space travel spacecraft stanley kubrick superb soundtrack surreal technology tedious visual visually appealing,0.37423983,-0.5314037,-0.1795617,-0.31578997,-0.83057094,-0.01359253,-0.04039662,-0.068836495,-1.1942216,-0.172554,0.28927258,-0.16614032,0.15485169,0.086611226,-0.15550558,-0.27962807,0.29273063,-0.6185087,0.5242113,-0.504113,0.28220543,-0.28148237,0.012653215,0.24841368,-0.3809695,-0.12444054,0.111656226,-0.12783085,0.8370188,0.40232545,-0.15157647,-0.15034385,-0.52851635,0.22925673,-0.038247105,-0.6288433,0.28454483,0.6047625,-0.35488644,-0.47732565,0.27229652,-0.16802673,-0.067625135,-0.3625046,-0.5592294,-0.34663677,-0.27024737,0.22844517,1.2550846,0.3585405,3.8944954128440368
1089,ensemble cast nonlinear quentin tarantino stylized heist violence humorous neonoir quentin tarantino religion tarantino,0.46487564,-0.12435812,-0.32560998,0.05953331,-0.26804683,0.4576385,-0.49561647,-0.045085754,-0.36858958,-0.1813624,-0.053506523,-0.30351266,0.1973081,0.12014771,-0.017120952,0.1698129,0.031480096,-0.09382855,-0.023692219,-0.12688562,-0.005664919,-0.014531741,0.09297107,0.18367669,0.19285199,-0.3435113,-0.059355278,-0.28838053,0.38280475,0.23311657,-0.030754149,0.24100314,-0.09605707,0.31953523,0.104152106,-0.34055272,0.045413755,0.21232437,-0.09817989,-0.27945665,0.056924988,0.20681879,-0.29786155,-0.2410203,-0.16236569,-0.028067589,-0.34089726,0.07513542,0.3125765,-0.15986252,4.202290076335878
1196,father space space opera classic george lucas harrison ford music original plot scifi sequel,0.15098904,-0.3955717,-0.27803305,-0.076509155,-0.19526266,0.22385421,0.14795709,-0.29590762,-0.74383736,0.12063318,0.104342416,-0.18960127,0.14559565,0.3523483,-0.050501958,-0.03828212,0.27273977,-0.07771312,-0.0060282904,-0.112247966,0.16031674,0.029046007,-0.06948841,0.31122348,-0.1828886,0.06154496,-0.17793503,-0.16627683,0.49985474,0.22365005,-0.22363044,0.02010152,-0.2421777,0.08352391,0.2048405,-0.16852666,0.20279567,0.20419483,-0.40219054,-0.012938721,-0.01775528,-0.11675113,-0.3877526,-0.18307996,-0.49792156,0.05864173,-0.3605446,0.07218082,0.64834076,0.2853729,4.2156398104265405
